epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.17038,1.56267,3.80328,1.316,0.48092,0.125,0.17666,0.08516,1.24458,3.67233,1.14856,0.000654762,0.000654762,0.000654762
2,12.2853,1.4128,2.47992,1.23369,0.67197,0.33333,0.49036,0.31695,1.36747,2.62187,1.48088,0.00125602,0.00125602,0.00125602
3,17.2475,1.47261,2.10965,1.32465,0.79603,0.59722,0.66898,0.42983,1.36176,2.14309,1.35283,0.00179127,0.00179127,0.00179127
4,22.1625,1.44757,1.67001,1.26964,0.55776,0.48611,0.51613,0.34717,1.30419,1.94591,1.27104,0.001703,0.001703,0.001703
5,26.8864,1.37696,1.47848,1.26025,0.94637,0.72222,0.86601,0.58016,1.19442,1.07843,1.20412,0.001604,0.001604,0.001604
6,31.8077,1.39372,1.40238,1.29437,0.70928,0.81329,0.80431,0.55445,1.15783,1.10511,1.20029,0.001505,0.001505,0.001505
7,36.5623,1.29593,1.23306,1.2473,0.86411,0.76389,0.85906,0.55132,1.30903,1.07172,1.28142,0.001406,0.001406,0.001406
8,41.3095,1.31427,1.18461,1.22855,0.92689,0.73611,0.84747,0.60396,1.10376,1.01688,1.1714,0.001307,0.001307,0.001307
9,46.2577,1.27042,1.10423,1.21525,0.90612,0.86111,0.9382,0.66734,0.99067,0.81705,1.10024,0.001208,0.001208,0.001208
10,51.1941,1.19288,1.03235,1.16858,0.86988,0.83571,0.9001,0.66337,0.96845,0.79962,1.08169,0.001109,0.001109,0.001109
11,56.5316,1.11183,0.89121,1.16295,0.94897,0.83333,0.92295,0.67918,0.98211,0.88091,1.08,0.00101,0.00101,0.00101
12,61.4614,1.11983,0.84567,1.14946,0.89004,0.89943,0.9426,0.74171,0.91788,0.71321,1.0658,0.000911,0.000911,0.000911
13,66.3807,1.09071,0.80632,1.14074,0.86866,0.91858,0.95552,0.72656,0.88285,0.68328,1.01026,0.000812,0.000812,0.000812
14,71.1155,1.03314,0.7331,1.09843,0.98501,0.91265,0.95984,0.74603,0.86665,0.6182,1.03279,0.000713,0.000713,0.000713
15,76.0519,1.00814,0.71807,1.08916,0.9064,0.95833,0.97565,0.76633,0.8671,0.57485,1.03186,0.000614,0.000614,0.000614
16,80.9796,0.96316,0.66808,1.05334,0.96073,0.93056,0.97541,0.7527,0.87315,0.58178,1.01089,0.000515,0.000515,0.000515
17,85.7005,0.95009,0.64399,1.0511,0.97,0.89829,0.97243,0.76512,0.81577,0.58116,0.95932,0.000416,0.000416,0.000416
18,90.4422,0.91546,0.61614,1.01466,0.93678,0.91667,0.97513,0.78415,0.73961,0.53658,0.95974,0.000317,0.000317,0.000317
19,95.3659,0.88062,0.57408,1.01091,0.97094,0.92828,0.97334,0.80657,0.74003,0.50343,0.97312,0.000218,0.000218,0.000218
20,100.288,0.86378,0.55591,1.00293,0.95698,0.91667,0.98017,0.79813,0.76661,0.49694,0.96113,0.000119,0.000119,0.000119
