epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.43676,1.32044,1.70001,1.57507,0.58698,0.61111,0.6597,0.39069,1.33645,1.63118,1.81377,0.000654762,0.000654762,0.000654762
2,10.4298,1.24081,1.1932,1.47813,0.82691,0.70778,0.80732,0.3814,1.70628,1.44939,2.33691,0.00130835,0.00130835,0.00130835
3,15.1347,1.21348,1.09975,1.44779,0.61229,0.60185,0.56545,0.17489,2.44427,2.10949,2.65268,0.00194873,0.00194873,0.00194873
4,19.8155,1.21148,1.04183,1.44412,0.7925,0.7963,0.85121,0.39114,1.85496,1.28933,2.23975,0.0019406,0.0019406,0.0019406
5,24.7005,1.17241,0.96365,1.41892,0.59541,0.65741,0.67586,0.34139,1.60904,1.55796,1.94887,0.0019208,0.0019208,0.0019208
6,29.378,1.13832,0.93209,1.39374,0.85718,0.88919,0.93458,0.61876,1.25573,0.86965,1.59329,0.001901,0.001901,0.001901
7,34.2672,1.10494,0.89141,1.36838,0.90326,0.88889,0.93821,0.60205,1.27661,0.716,1.66011,0.0018812,0.0018812,0.0018812
8,38.9633,1.08102,0.86497,1.35407,0.89325,0.92977,0.96489,0.58024,1.54578,0.75428,1.86804,0.0018614,0.0018614,0.0018614
9,43.6521,1.05836,0.8304,1.34198,0.93723,0.87963,0.95079,0.69835,1.15511,0.73539,1.48494,0.0018416,0.0018416,0.0018416
10,48.5479,1.04839,0.7983,1.32644,0.89716,0.94444,0.97652,0.69123,1.14923,0.67373,1.40336,0.0018218,0.0018218,0.0018218
11,53.2446,1.05992,0.80683,1.33533,0.98074,0.94321,0.98768,0.75577,0.96397,0.64726,1.29968,0.001802,0.001802,0.001802
12,58.1343,1.02548,0.75032,1.30017,0.94384,0.93375,0.97805,0.67176,1.3427,0.76637,1.71937,0.0017822,0.0017822,0.0017822
13,62.8461,1.02287,0.74957,1.31878,0.92608,0.9537,0.97081,0.70284,1.10095,0.65206,1.38152,0.0017624,0.0017624,0.0017624
14,67.5596,0.99571,0.72536,1.29278,0.90851,0.93519,0.95129,0.69967,1.08281,0.65854,1.41644,0.0017426,0.0017426,0.0017426
15,72.2782,0.97691,0.69958,1.26698,0.87595,0.94444,0.97172,0.74414,1.11172,0.64796,1.45852,0.0017228,0.0017228,0.0017228
16,76.9749,0.97152,0.70813,1.27059,0.94424,0.94082,0.98255,0.77871,0.9326,0.68004,1.28231,0.001703,0.001703,0.001703
17,81.8874,0.95044,0.69034,1.26609,0.91226,0.94444,0.98223,0.76702,0.93687,0.56631,1.29626,0.0016832,0.0016832,0.0016832
18,86.5991,0.92821,0.66797,1.2525,0.90684,0.94444,0.97901,0.76537,0.9314,0.52224,1.27002,0.0016634,0.0016634,0.0016634
19,91.3211,0.90284,0.63577,1.22014,0.93597,0.87963,0.94226,0.73316,0.99544,0.60433,1.33004,0.0016436,0.0016436,0.0016436
20,96.0614,0.90837,0.63892,1.23135,0.97099,0.92986,0.98314,0.75984,1.13855,0.6169,1.54829,0.0016238,0.0016238,0.0016238
21,100.791,0.91388,0.64782,1.23767,0.92844,0.96103,0.97598,0.76344,0.98129,0.54234,1.29382,0.001604,0.001604,0.001604
22,105.508,0.90872,0.63754,1.24426,0.9459,0.97134,0.98547,0.78968,0.88552,0.54425,1.21782,0.0015842,0.0015842,0.0015842
23,110.445,0.90031,0.62798,1.22867,0.95421,0.96467,0.97642,0.75991,0.94658,0.55445,1.30744,0.0015644,0.0015644,0.0015644
